X1,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
116,80,8,1.3955952042,1.3603453298,1,1,1
117,80,10,1.7491107799,1.624574466,1,1,1
118,80,12,2.0963361124,1.8676824486,1,1,1
119,90,0,0.1131943645,0.1158004271,0.02475,0.018,0.02275
120,90,0.5,0.1298632429,0.1394594967,0.1,0.063,0.0835
121,90,1,0.1817161847,0.2065099461,0.32,0.1755,0.247
122,90,1.5,0.2543686341,0.2985662618,0.6345,0.3595,0.4935
123,90,2,0.3341574876,0.3884771535,0.87075,0.6135,0.74475
124,90,2.5,0.4247215249,0.4800866683,0.971,0.8145,0.898
125,90,3,0.5073102572,0.5700165372,0.99525,0.933,0.96575
126,90,3.5,0.5957246653,0.657408456,0.9995,0.977,0.9925
127,90,4,0.6850285791,0.7425209653,1,0.9965,0.99875
128,90,5,0.8578832999,0.9075180825,1,0.9995,1
129,90,6,1.0374598177,1.0705492482,1,1,1
130,90,8,1.3952248153,1.3589122995,1,1,1
131,90,10,1.7487867032,1.6346263321,1,1,1
132,90,12,2.1012048364,1.8597908306,1,1,1
133,100,0,0.1086213873,0.1107946793,0.023,0.01825,0.02075
134,100,0.5,0.1320869547,0.1383254808,0.124,0.0845,0.106
135,100,1,0.1805091092,0.2048280047,0.36225,0.203,0.28175
136,100,1.5,0.2531908302,0.2978750147,0.681,0.4055,0.5505
137,100,2,0.333224539,0.3872440152,0.897,0.654,0.78325
138,100,2.5,0.4291372295,0.4804534305,0.986,0.8705,0.927
139,100,3,0.5116918246,0.5677867471,0.99825,0.96125,0.97925
140,100,3.5,0.5920116583,0.6607238733,0.9995,0.992,0.9975
141,100,4,0.6849820446,0.742948454,1,0.99875,0.999
142,100,5,0.8626771976,0.9183192465,1,1,1
143,100,6,1.0381557939,1.0694070944,1,1,1
144,100,8,1.3931432695,1.3571807791,1,1,1
145,100,10,1.754807531,1.627508753,1,1,1
146,100,12,2.0959098076,1.8603080846,1,1,1
147,110,0,0.1033382109,0.1056576355,0.0175,0.01725,0.01825
148,110,0.5,0.1277417399,0.1349925427,0.1355,0.0915,0.103
149,110,1,0.1769502227,0.2047935037,0.402,0.219,0.2935
150,110,1.5,0.2544519048,0.2941133315,0.7165,0.462,0.578
151,110,2,0.3341740568,0.3881620976,0.92525,0.7015,0.8245
152,110,2.5,0.4198932335,0.4764105034,0.986,0.895,0.937
153,110,3,0.5098420103,0.5660587724,0.99925,0.97275,0.99
154,110,3.5,0.5936305142,0.6595269924,1,0.9955,0.999
