,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
74,60.0,2.0000000000000018,0.34061496238010947,0.3816874471553463,0.689,0.429,0.547
75,60.0,2.5,0.424517474093615,0.4887207143979736,0.8905,0.6405,0.7465
76,60.0,2.9999999999999982,0.5106939619919891,0.5672316179675193,0.958,0.7965,0.8795
77,60.0,3.5000000000000013,0.5950529991115854,0.6641354148776014,0.993,0.9155,0.952
78,60.0,3.9999999999999987,0.6882515427185086,0.7457536722157545,0.998,0.9675,0.9795
79,60.0,5.0,0.8574990466949708,0.913427875221208,1.0,0.9975,0.999
80,60.0,6.000000000000001,1.0424368485005893,1.065688204798699,1.0,1.0,0.9995
81,60.0,7.999999999999997,1.3946861568027389,1.3688583559757097,1.0,1.0,1.0
82,60.0,10.0,1.7540429461865705,1.6400969443376132,1.0,1.0,1.0
83,60.0,12.000000000000002,2.104478942877526,1.8682786522888366,1.0,1.0,1.0
84,70.0,0.0,0.12803613838587544,0.13372539107904766,0.018,0.015,0.0205
85,70.0,0.4999999999999982,0.14653037695207877,0.15523783051733614,0.0955,0.067,0.082
86,70.0,1.0000000000000009,0.18572671736486093,0.22005291821640466,0.2705,0.1375,0.2105
87,70.0,1.4999999999999991,0.26453366550977164,0.2947021342240365,0.509,0.318,0.3935
88,70.0,2.0000000000000018,0.33873487075469516,0.3831044187897868,0.76,0.503,0.6105
89,70.0,2.5,0.4211335359547924,0.4828102455495947,0.9205,0.7095,0.81
90,70.0,2.9999999999999982,0.5079358078211327,0.5680680483318211,0.98,0.859,0.921
91,70.0,3.5000000000000013,0.5966073514441527,0.6588753715833808,0.997,0.9505,0.9795
92,70.0,3.9999999999999987,0.6883004021207842,0.7473379563719613,1.0,0.986,0.9955
93,70.0,5.0,0.859245185311165,0.9059800022409996,1.0,1.0,0.9995
94,70.0,6.000000000000001,1.040390760293065,1.0711823395291635,1.0,1.0,1.0
95,70.0,7.999999999999997,1.3967455262580173,1.3708771274902125,1.0,1.0,1.0
96,70.0,10.0,1.7483973178777918,1.637084019273904,1.0,1.0,1.0
97,70.0,12.000000000000002,2.102772413804733,1.863234790552844,1.0,1.0,1.0
98,75.0,0.0,0.12388397039598383,0.1276345584041928,0.021,0.01775,0.019
99,75.0,1.0000000000000009,0.18776823003342633,0.21327907191694098,0.28,0.1545,0.2125
100,75.0,2.0000000000000018,0.339210152486553,0.3836023903472199,0.7925,0.53525,0.6485
101,75.0,2.9999999999999982,0.5109062526961942,0.5677233791671489,0.9885,0.8905,0.9355
102,75.0,3.9999999999999987,0.6878395391168991,0.7422557811595779,0.9995,0.9915,0.9955
